sep=,
DeviceTag:,Xsens_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-17 15:23:43.751 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 3345944981, -98.18437194824219, 49.583614349365234, 16.21544075012207, 2.8687415, -5.099629, 0.105994225
2, 3345961648, -101.6904525756836, 50.37483215332031, 15.116290092468262, 2.6860719, -3.916309, 0.06664276
3, 3345978315, -105.27515411376953, 51.077972412109375, 13.311150550842285, 2.7383704, -2.854078, -0.120204926
4, 3345994982, -108.640625, 51.67409896850586, 10.963537216186523, 2.4514995, -2.0167322, -0.5122881
5, 3346011649, -111.61214447021484, 52.09444046020508, 8.262983322143555, 1.5057102, -1.5160071, -0.9825926
6, 3346028316, -114.1927490234375, 52.31624984741211, 5.359702110290527, 0.18477458, -1.0439094, -1.4098635
7, 3346044983, -116.46632385253906, 52.385093688964844, 2.38903546333313, -0.87824756, -0.498009, -1.5448694
8, 3346061650, -118.3949203491211, 52.38106155395508, -0.43282952904701233, -1.3876209, -0.019592028, -1.2267847
9, 3346078317, -119.93824768066406, 52.3467903137207, -2.9057414531707764, -1.5432972, 0.18946858, -0.69253826
10, 3346094984, -121.22067260742188, 52.33217239379883, -5.075267791748047, -1.4097571, 0.2470967, -0.4915247
11, 3346111651, -122.38927459716797, 52.35741424560547, -7.095046043395996, -1.2620885, 0.17860764, -0.6045933
12, 3346128318, -123.4776611328125, 52.466590881347656, -8.980902671813965, -1.0825576, -0.055031125, -0.75431824
13, 3346144985, -124.54141235351562, 52.65093231201172, -10.645685195922852, -0.8469414, -0.27040082, -0.78662395
14, 3346161652, -125.64683532714844, 52.874446868896484, -12.118823051452637, -0.61914945, -0.345256, -0.6857281
15, 3346178319, -126.76956939697266, 53.13570785522461, -13.47054672241211, -0.3555337, -0.34075108, -0.4821272
16, 3346194986, -127.8459243774414, 53.42233657836914, -14.706123352050781, -0.30188498, -0.21843496, -0.38138294
17, 3346211653, -128.88681030273438, 53.74773406982422, -15.799760818481445, -0.39566296, -0.19669788, -0.55854416
18, 3346228320, -129.9438934326172, 54.098392486572266, -16.7568416595459, -0.29045776, -0.20303212, -0.61652946
19, 3346244987, -131.0023193359375, 54.46951675415039, -17.571809768676758, -0.06470466, -0.2687864, -0.531085
20, 3346261654, -132.01651000976562, 54.84738540649414, -18.279451370239258, 0.0768271, -0.5429646, -0.5521393
21, 3346278321, -132.93844604492188, 55.21324920654297, -18.919076919555664, -0.008542442, -0.7537883, -0.5909443
22, 3346294988, -133.79299926757812, 55.561668395996094, -19.534700393676758, -0.02928679, -0.8868657, -0.7446165
23, 3346311655, -134.5504913330078, 55.875614166259766, -20.080663681030273, -0.018970998, -0.86824924, -0.62286854
24, 3346328322, -135.16168212890625, 56.15333938598633, -20.492582321166992, 0.17964205, -0.64925396, -0.2684431
25, 3346344989, -135.6476287841797, 56.44062805175781, -20.78173828125, 0.46333778, -0.42506218, -0.15706825
26, 3346361656, -136.0448455810547, 56.74551010131836, -21.009960174560547, 0.5638523, -0.30209476, -0.2541771
27, 3346378323, -136.33958435058594, 57.03280258178711, -21.192564010620117, 0.6005119, -0.38926703, -0.44382763
28, 3346394990, -136.56455993652344, 57.31327819824219, -21.29962158203125, 0.43665257, -0.71712345, -0.6302719
29, 3346411657, -136.75689697265625, 57.594703674316406, -21.302154541015625, 0.16526482, -1.1835818, -0.9144125
30, 3346428324, -136.97207641601562, 57.840274810791016, -21.191730499267578, -0.05286171, -1.3809797, -0.9642067
31, 3346444991, -137.22633361816406, 58.084537506103516, -20.964946746826172, -0.10372666, -1.0007368, -0.6568527
32, 3346461658, -137.48194885253906, 58.38387680053711, -20.638151168823242, -0.17116623, -0.48432308, -0.25314426
33, 3346478325, -137.6950225830078, 58.73936080932617, -20.25693702697754, -0.17525204, -0.56417376, 0.021408081
34, 3346494992, -137.9584197998047, 59.084163665771484, -19.94261932373047, -0.049729876, -1.055469, 0.13730907
35, 3346511659, -138.331298828125, 59.4234733581543, -19.769113540649414, 0.044466674, -1.3574198, 0.22362423
36, 3346528326, -138.7003631591797, 59.80301284790039, -19.63921546936035, 0.05923194, -1.1409004, 0.3356371
37, 3346544993, -139.01516723632812, 60.22229766845703, -19.473608016967773, 0.3403159, -0.8467397, 0.052915573
38, 3346561660, -139.31472778320312, 60.60809326171875, -19.303125381469727, 0.7008619, -0.7015153, -0.16875076
39, 3346578327, -139.57786560058594, 60.93729019165039, -19.152236938476562, 0.83995944, -0.8599306, -0.10203743
40, 3346594994, -139.73947143554688, 61.214874267578125, -19.004199981689453, 0.90990627, -1.0378569, 0.121310234
41, 3346611661, -139.7032928466797, 61.46566390991211, -18.74027442932129, 1.0295832, -0.9626015, 0.16082478
42, 3346628328, -139.4574737548828, 61.6980094909668, -18.279619216918945, 0.9831206, -0.72388786, -0.04827118
43, 3346644995, -139.05902099609375, 61.85237121582031, -17.636919021606445, 0.67149806, -0.60857123, -0.20903301
44, 3346661662, -138.69827270507812, 61.981468200683594, -16.97419548034668, 0.35481653, -0.66144747, -0.5694666
45, 3346678329, -138.4077911376953, 62.08036804199219, -16.319456100463867, -0.031674355, -0.84393644, -0.71518517
46, 3346694996, -138.1638641357422, 62.15178680419922, -15.674985885620117, -0.14931726, -0.98688924, -0.7649212
47, 3346711663, -137.9098663330078, 62.219390869140625, -15.03364086151123, -0.0533835, -0.8503365, -0.72560596
48, 3346728330, -137.58631896972656, 62.311885833740234, -14.346165657043457, -0.07011881, -0.7222213, -0.5549202
49, 3346744997, -137.24212646484375, 62.42324447631836, -13.621980667114258, -0.2988508, -0.762122, -0.32613754
50, 3346761664, -137.0361785888672, 62.55479431152344, -13.021363258361816, -0.36276668, -0.9424989, -0.4683485
51, 3346778331, -136.9946746826172, 62.696048736572266, -12.629816055297852, -0.42599222, -0.9761421, -0.4878025
52, 3346794998, -136.95449829101562, 62.81636428833008, -12.302247047424316, -0.3000096, -1.1246461, -0.41061592
53, 3346811665, -136.83949279785156, 62.91812515258789, -11.930495262145996, -0.019151373, -1.289507, -0.3293209
54, 3346828332, -136.67588806152344, 63.019779205322266, -11.534600257873535, 0.111443445, -1.1786263, -0.26941872
55, 3346844999, -136.4788360595703, 63.14350128173828, -11.16195297241211, -0.021677852, -0.9815967, -0.25794125
56, 3346861666, -136.2660369873047, 63.30506134033203, -10.861971855163574, -0.149694, -0.8185393, -0.30702686
57, 3346878333, -136.0637969970703, 63.48674011230469, -10.62028980255127, -0.22167814, -0.7141543, -0.3765993
58, 3346895000, -135.8603057861328, 63.66781234741211, -10.388442993164062, -0.33119288, -0.58769935, -0.38227272
59, 3346911667, -135.6239776611328, 63.83616638183594, -10.129192352294922, -0.40276453, -0.52311957, -0.273633
60, 3346928334, -135.4120635986328, 64.00792694091797, -9.91032886505127, -0.31838426, -0.7050175, -0.2619772
61, 3346945001, -135.2969970703125, 64.18419647216797, -9.816276550292969, -0.10134815, -1.0003568, -0.24677372
62, 3346961668, -135.20297241210938, 64.36006164550781, -9.830530166625977, 0.09660241, -1.0300564, -0.28522873
63, 3346978335, -135.01890563964844, 64.5273666381836, -9.831718444824219, 0.30750266, -0.7116878, -0.24247551
64, 3346995002, -134.71673583984375, 64.67656707763672, -9.753472328186035, 0.4583038, -0.35026133, -0.071416855
