sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-17 15:23:43.748 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 3345944981, -70.99117279052734, 44.688575744628906, -174.08250427246094, 4.3021846, 5.6829643, 2.0809326
2, 3345961648, -69.92681121826172, 45.603885650634766, -172.00192260742188, 3.592992, 4.877043, 1.0868931
3, 3345978315, -68.62115478515625, 46.54236602783203, -169.95318603515625, 3.1526084, 3.936998, 0.011385918
4, 3345994982, -67.10546112060547, 47.535247802734375, -167.9436492919922, 2.4818163, 3.0702798, -1.1052704
5, 3346011649, -65.52873992919922, 48.58482360839844, -166.10287475585938, 1.3446991, 2.5200434, -1.8120508
6, 3346028316, -64.06568908691406, 49.662906646728516, -164.52261352539062, 0.33068106, 2.0603287, -2.2226324
7, 3346044983, -62.858341217041016, 50.778053283691406, -163.2240753173828, -0.26733926, 1.4407507, -2.4756756
8, 3346061650, -61.96857833862305, 51.96872329711914, -162.16690063476562, -0.4550298, 0.69243157, -2.4865804
9, 3346078317, -61.34684753417969, 53.27064895629883, -161.34555053710938, -0.74496096, 0.24724858, -2.0867524
10, 3346094984, -60.84481430053711, 54.62971878051758, -160.78656005859375, -1.2219502, 0.076458864, -1.4870214
11, 3346111651, -60.34111022949219, 56.02739334106445, -160.50784301757812, -1.6410618, -7.834129E-5, -0.86534786
12, 3346128318, -59.773799896240234, 57.419830322265625, -160.43724060058594, -1.6853821, -0.13128279, -0.35756683
13, 3346144985, -59.02497863769531, 58.769142150878906, -160.4183807373047, -1.41275, -0.28687212, 0.13900852
16, 3346194986, -55.56413269042969, 62.19683837890625, -159.944091796875, -0.36143476, -0.52801424, 0.15079689
20, 3346261654, -53.02710723876953, 65.34907531738281, -159.1927032470703, -0.17699902, -0.5635041, 0.3167658
23, 3346311655, -51.668800354003906, 66.44178771972656, -158.43287658691406, -0.7729769, -0.09501368, 0.6089926
26, 3346361656, -50.014183044433594, 66.57703399658203, -157.3861541748047, 3.2543487E-4, 0.021462273, -0.3272686
32, 3346461658, -47.34493637084961, 66.14610290527344, -154.1185760498047, 0.5718913, 0.6287236, -0.9195585
35, 3346511659, -47.050472259521484, 66.41443634033203, -152.68991088867188, 0.77832466, 0.8431281, 0.022807121
38, 3346561660, -47.48966979980469, 67.09797668457031, -152.43817138671875, -0.013382615, 1.742818, -0.28146744
42, 3346628328, -48.87034606933594, 68.10127258300781, -153.5650634765625, 0.45650688, 0.16683443, 0.20923519
45, 3346678329, -50.567630767822266, 68.31549072265625, -154.0464324951172, 0.07811264, 0.48214003, -0.11548042
48, 3346728330, -50.994972229003906, 68.34053039550781, -153.64535522460938, 0.9501254, -0.15859407, -0.63438416
51, 3346778331, -52.13561248779297, 68.3997573852539, -153.85472106933594, 0.65523005, 0.009011037, -0.1369009
54, 3346828332, -52.72929000854492, 68.20843505859375, -154.01513671875, 0.8310006, -0.18642321, -0.016500473
61, 3346945001, -53.270606994628906, 67.3445053100586, -153.83956909179688, -0.025163982, -0.05782593, 0.7809744
64, 3346995002, -53.67485809326172, 66.19435119628906, -154.5757293701172, -0.2118049, 0.2562537, 0.40258408
67, 3347045003, -53.23845672607422, 64.77399444580078, -154.7407989501953, 0.3571004, 0.17019248, -0.15479565
70, 3347095004, -53.795257568359375, 63.35480880737305, -155.28811645507812, -0.21265715, 0.4243874, -0.01401329
73, 3347145005, -54.03221893310547, 62.10334014892578, -156.0855255126953, -0.025922362, 0.024508642, -0.2421732
83, 3347311675, -56.208831787109375, 59.11103820800781, -159.50038146972656, 0.09868723, -0.24022089, 0.2425499
86, 3347361676, -57.43174362182617, 58.7630500793457, -161.24720764160156, 0.34567598, 0.047686823, 0.9911804
89, 3347411677, -58.27791213989258, 58.82048416137695, -163.7198486328125, 0.11025693, 0.30281234, 0.75461006
92, 3347461678, -59.91139602661133, 59.28350067138672, -167.09072875976562, -0.13555077, -0.38884002, 0.38942432
95, 3347511679, -63.07274627685547, 59.60960388183594, -169.83096313476562, -1.7589583, 0.5156248, -0.69977474
102, 3347628348, -64.0114974975586, 61.4276008605957, -168.06837463378906, -0.5258252, 1.1305726, -1.0486412
105, 3347678349, -65.39767456054688, 60.933101654052734, -167.86602783203125, -0.78855217, 0.6026002, -0.029009819
108, 3347728350, -63.80542755126953, 60.05786895751953, -166.400634765625, -0.25105935, -0.7121292, 0.7220297
111, 3347778351, -61.09370040893555, 59.012718200683594, -164.98641967773438, 0.40740377, -0.9637026, 0.7677994
114, 3347828352, -58.265995025634766, 57.894630432128906, -163.61276245117188, 0.7821123, -0.13370131, 0.25349236
117, 3347878353, -55.845947265625, 56.54057693481445, -161.95751953125, 0.42107728, 0.57443064, -0.15173054
120, 3347928354, -54.486244201660156, 55.014610290527344, -160.64988708496094, -0.6881974, 1.0818202, -0.1792202
124, 3347995022, -51.55533981323242, 53.00331497192383, -158.62393188476562, -0.10879448, 0.36923626, -0.10722065
127, 3348045023, -49.274810791015625, 51.50030517578125, -156.97906494140625, 0.24118277, 0.13978702, -0.044330597
130, 3348095024, -47.887481689453125, 50.072486877441406, -155.2148895263672, 0.23687255, 0.21390626, 0.47656536
136, 3348195026, -44.69013214111328, 48.80738830566406, -153.01075744628906, 0.09331431, -0.92020303, 0.12149525
139, 3348245027, -43.90000534057617, 48.7779541015625, -152.83447265625, 0.49681902, -1.0202127, -0.10346317
142, 3348295028, -43.72962951660156, 48.84844970703125, -153.12933349609375, 0.45589188, -0.56200826, -0.23678398
149, 3348411697, -45.59589385986328, 50.32064437866211, -155.16213989257812, -0.40962303, -0.42164603, 0.35276031
152, 3348461698, -46.622283935546875, 51.26906204223633, -156.14442443847656, -0.93908006, 0.299588, -0.17014408
155, 3348511699, -47.80458450317383, 52.25606155395508, -157.2104034423828, -0.35776478, 0.31726915, -0.025252342
158, 3348561700, -48.80657958984375, 53.31995391845703, -157.8762664794922, 0.19022495, -0.12841244, -0.10905552
161, 3348611701, -50.19169235229492, 54.44857406616211, -158.5621795654297, -0.1309834, 0.008064236, -0.13751793
164, 3348661702, -51.54648971557617, 55.450225830078125, -159.36727905273438, 0.01623777, -0.13697757, -0.05966854
168, 3348728370, -53.202720642089844, 56.62979507446289, -160.35189819335938, 0.04467253, -0.12547044, -0.058906555
174, 3348828372, -56.639827728271484, 58.4521369934082, -161.89581298828125, -0.07849228, 0.1563577, -0.065924644
180, 3348928374, -59.334556579589844, 60.39754104614258, -163.40118408203125, 0.0041776807, 0.15215644, -0.16191578
183, 3348978375, -60.1663703918457, 61.21110916137695, -163.81495666503906, 0.22771075, 0.13406776, -0.32885838
187, 3349045043, -61.389495849609375, 62.05470657348633, -164.45675659179688, -0.012897592, 0.31785566, -0.27011204
190, 3349095044, -62.55049133300781, 62.7030143737793, -165.12339782714844, -0.30953416, 0.24165192, 0.12099171
193, 3349145045, -63.46012878417969, 63.26198959350586, -165.79855346679688, -0.15786251, 0.23191582, -0.20050716
196, 3349195046, -63.999202728271484, 63.7261848449707, -166.44049072265625, 0.120706834, 0.26949626, -0.43986225
199, 3349245047, -64.04646301269531, 64.02112579345703, -166.8997039794922, 0.31281152, 0.17769861, -0.41479492
202, 3349295048, -63.333011627197266, 64.1710205078125, -166.85836791992188, 0.572665, -0.05713874, -0.2794733
205, 3349345049, -62.78877639770508, 64.0806655883789, -166.54969787597656, 0.2339832, 0.09223173, -0.27555847
209, 3349411717, -61.9355354309082, 64.26006317138672, -166.1800994873047, 0.03669345, 0.17632657, 0.03644657
212, 3349461718, -61.5391845703125, 64.49830627441406, -165.97784423828125, 0.15303731, 0.1204423, -0.30051804
215, 3349511719, -61.77398681640625, 64.87520599365234, -166.08251953125, -0.15770426, 0.09894617, 0.21971607
218, 3349561720, -62.80257797241211, 65.24605560302734, -166.63087463378906, -0.16928536, 0.05481834, -0.20199299
221, 3349611721, -63.764625549316406, 65.6990737915039, -167.26907348632812, -0.68311036, -0.21176846, 0.20582199
224, 3349661722, -64.39901733398438, 66.18894958496094, -167.70828247070312, -0.086636975, -0.21878566, -0.2755499
227, 3349711723, -65.6014175415039, 66.70469665527344, -168.25636291503906, 0.05588383, -0.08143069, -0.15419197
231, 3349778391, -66.74365997314453, 67.1913833618164, -168.56072998046875, -0.017192394, 0.22738163, -0.32134724
234, 3349828392, -67.12124633789062, 67.45964050292969, -168.41677856445312, 0.30372864, 0.19595581, -0.16215324
240, 3349928394, -67.42931365966797, 67.79596710205078, -167.82472229003906, 0.10348784, 0.4092604, 0.18537521
243, 3349978395, -67.14022064208984, 67.99654388427734, -167.4237518310547, -0.023713384, 0.32294413, -0.11253452
246, 3350028396, -66.6703109741211, 68.27783966064453, -167.1466064453125, 0.1929051, 0.070866905, -0.2992096
250, 3350095064, -66.47319030761719, 68.60491180419922, -166.93785095214844, 0.021209145, -0.016510343, -0.33280945
253, 3350145065, -66.32051849365234, 68.78129577636719, -166.68797302246094, -0.074249886, 0.09430201, -0.070409775
256, 3350195066, -66.24512481689453, 68.97723388671875, -166.45823669433594, -0.023425946, -0.010987114, 0.16077042
259, 3350245067, -66.19400787353516, 69.09058380126953, -166.30860900878906, -0.25237182, 0.022614483, 0.33092976
262, 3350295068, -65.56741333007812, 69.1513900756836, -166.0361785888672, -0.1153338, 3.0084845E-4, -0.20073032
265, 3350345069, -65.28524017333984, 69.18087005615234, -165.9409637451172, -0.13160376, 0.0058087665, -0.13406277
268, 3350395070, -64.61320495605469, 69.18414306640625, -165.54071044921875, 0.12449515, 0.06542951, -0.18757248
275, 3350511739, -63.832359313964844, 69.23491668701172, -164.93873596191406, 0.026355084, 0.047983315, -0.07384777
278, 3350561740, -63.728370666503906, 69.28339385986328, -164.88430786132812, 0.10756986, -0.010801822, -0.10300636
281, 3350611741, -63.75646209716797, 69.29219818115234, -164.98138427734375, 0.050606463, 0.07745428, -0.14898968
284, 3350661742, -63.876373291015625, 69.28499603271484, -165.17462158203125, 0.09932715, 0.045279924, -0.021716118
287, 3350711743, -63.99341583251953, 69.25157165527344, -165.29522705078125, 0.053085893, 0.08217186, -0.06437588
294, 3350828412, -64.263671875, 69.20648193359375, -166.53384399414062, -0.2186587, 0.16676727, 0.05601597
297, 3350878413, -63.891719818115234, 69.12532806396484, -167.5035858154297, -0.11132063, 0.4473318, 0.52100945
300, 3350928414, -62.68864440917969, 68.87873840332031, -168.7847137451172, -0.09669338, 0.4851208, -0.16877651
303, 3350978415, -60.6120491027832, 68.25281524658203, -169.5052490234375, 0.6043263, 0.65577704, 0.1894579
306, 3351028416, -58.63740539550781, 67.18339538574219, -169.20941162109375, 0.67729944, 0.51717544, 0.2872305
313, 3351145085, -57.93222427368164, 63.63948059082031, -169.3040313720703, -0.0499262, -0.15330441, 0.15587997
316, 3351195086, -57.2160530090332, 61.82429122924805, -169.3885955810547, 0.3721123, -0.27968556, -0.16257763
319, 3351245087, -56.96083450317383, 60.18690490722656, -169.5772705078125, 0.53008187, -0.12376817, -0.6804981
322, 3351295088, -57.08811950683594, 59.13836669921875, -169.95823669433594, 0.1413991, 0.12731633, -0.8515835
325, 3351345089, -57.386375427246094, 58.68620300292969, -171.1026611328125, 0.02606664, 0.30721924, -0.53410435
328, 3351395090, -57.32939147949219, 58.463565826416016, -172.8943634033203, -0.04505038, 0.7880193, -0.46558762
331, 3351445091, -56.94169235229492, 58.25884246826172, -175.19517517089844, 0.1365349, 0.643337, -0.43570042
335, 3351511759, -55.65669631958008, 58.26682662963867, -178.00665283203125, 0.3197355, 0.30933043, -0.8545208
338, 3351561760, -55.247230529785156, 58.83736801147461, 179.96705627441406, 0.12863663, 0.21385865, -0.92440987
341, 3351611761, -55.289459228515625, 60.332359313964844, 177.98780822753906, 0.30797136, -0.555661, -0.44839096
347, 3351711763, -55.411441802978516, 63.22477340698242, 173.70582580566406, -0.10692709, 0.4181098, 0.14195156
350, 3351761764, -55.84151840209961, 64.54998779296875, 170.6466827392578, 0.7065143, 0.2549086, -0.53880405
353, 3351811765, -58.4559440612793, 66.85591125488281, 166.21788024902344, 1.2222654, 0.40634006, -0.8513403
357, 3351878433, -65.80561065673828, 71.36637115478516, 157.19232177734375, 1.0206422, -0.6533931, -0.0230999
363, 3351978435, -88.48713684082031, 77.2077865600586, 134.48936462402344, -0.550918, -0.7710385, 0.69170094
366, 3352028436, -102.93220520019531, 79.12943267822266, 119.91458892822266, -1.3364848, -0.69825816, 0.051083565
369, 3352078437, -120.22653198242188, 80.1316146850586, 102.8042984008789, -1.7757617, -0.71774447, 0.001707077
372, 3352128438, -136.05557250976562, 80.22539520263672, 87.41496276855469, -1.9804415, -0.1605841, 0.13346767
376, 3352195106, -147.53109741210938, 80.10842895507812, 75.81423950195312, -1.8281469, 0.1144003, 0.5671902
379, 3352245107, -146.68959045410156, 80.94336700439453, 76.13212585449219, -1.2006068, 0.16435981, 0.20045757
382, 3352295108, -140.3370361328125, 82.1080551147461, 82.41592407226562, -1.0937892, 0.31643847, -0.17819214
385, 3352345109, -130.80938720703125, 82.95118713378906, 92.04960632324219, -0.6310421, 0.38440517, -0.37681007
388, 3352395110, -118.71887969970703, 83.38322448730469, 104.31415557861328, -0.018950658, 0.33546656, -0.41904545
391, 3352445111, -106.20693969726562, 83.5334701538086, 116.88326263427734, 0.16869226, 0.2544143, -0.3246088
394, 3352495112, -93.42337799072266, 83.4909439086914, 129.65335083007812, 0.4928202, 0.045687724, -0.17907715
398, 3352561780, -82.39766693115234, 83.49651336669922, 140.82472229003906, 0.07822584, 0.14023739, -0.1792345
404, 3352661782, -79.44646453857422, 83.65383911132812, 144.758544921875, 0.22791125, 0.51320684, -0.24122047
407, 3352711783, -80.55560302734375, 83.7654037475586, 144.25314331054688, 0.17889117, 0.43206853, -0.27685928
410, 3352761784, -82.913330078125, 83.92694854736328, 142.3389892578125, 0.030928103, 0.1848005, -0.38585758
416, 3352861786, -95.00340270996094, 84.22718048095703, 131.3363494873047, -0.071685575, 0.09447144, -0.11418724
420, 3352928454, -102.82784271240234, 84.14315032958984, 123.95655822753906, -2.8978454E-4, -0.09633174, -0.048975945
423, 3352978455, -107.4120864868164, 84.15608978271484, 119.36478424072266, -0.005662924, 0.029504605, -0.27008915
426, 3353028456, -109.1000747680664, 84.15728759765625, 117.49140930175781, -0.592165, 0.05197626, 0.25863743
429, 3353078457, -104.04462432861328, 83.99593353271484, 121.9686050415039, -0.20526189, 0.14974809, 0.05206871
432, 3353128458, -95.7579574584961, 83.66315460205078, 129.81268310546875, -0.034752242, 0.054926746, -0.31735897
435, 3353178459, -90.05380249023438, 83.42967987060547, 135.53329467773438, 0.13980785, 0.024404038, -0.60621834
439, 3353245127, -89.19956970214844, 83.788330078125, 137.23196411132812, -0.17467023, 0.08939512, -0.15951443
445, 3353345129, -89.37063598632812, 84.3646240234375, 137.65440368652344, -0.019909529, 0.33024475, -0.07782173
448, 3353395130, -88.13404846191406, 84.34196472167969, 138.96226501464844, -0.027818982, 0.07634297, -0.16832733
454, 3353495132, -88.28379821777344, 84.28728485107422, 138.93858337402344, -0.09802216, 0.07956279, -0.20062637
457, 3353545133, -87.04191589355469, 84.31493377685547, 139.73846435546875, -0.100602396, 0.022604536, -0.15459633
461, 3353611801, -85.75302124023438, 84.32522583007812, 140.5376434326172, -0.047829986, -0.0031119708, -0.15947437
464, 3353661802, -86.25540161132812, 84.27742004394531, 139.9706268310547, -0.19478205, 0.12542608, -0.082297325
467, 3353711803, -86.37287902832031, 84.23876953125, 139.77078247070312, -0.20198552, 0.18457633, -0.17232132
470, 3353761804, -86.55933380126953, 84.15340423583984, 139.57540893554688, -0.10553522, 0.062778644, -0.22153568
473, 3353811805, -86.851806640625, 84.10335540771484, 139.48944091796875, -0.056277264, 0.051398594, -0.17219448
479, 3353911807, -88.13050842285156, 84.00642395019531, 138.583984375, 0.005360958, 0.049455594, -0.23164272
486, 3354028476, -87.65692138671875, 84.10688018798828, 138.8316650390625, -0.1375292, 0.09498708, -0.15709496
489, 3354078477, -87.2590560913086, 84.1443862915039, 139.09303283691406, -0.11548356, 0.087881945, -0.16814327
495, 3354178479, -86.36370849609375, 84.15387725830078, 140.01571655273438, 0.02031906, 0.021263905, -0.30391693
498, 3354228480, -83.01799011230469, 84.30071258544922, 142.98049926757812, 0.17244679, 0.15290275, -0.32748508
501, 3354278481, -78.36807250976562, 84.63768768310547, 146.78207397460938, 0.12269688, 0.030556008, -0.36039257
505, 3354345149, -76.79759979248047, 85.31926727294922, 147.83242797851562, -0.23027875, -0.024399009, 0.052840233
508, 3354395150, -81.0465316772461, 85.57978057861328, 144.13658142089844, -0.42224765, 0.19279657, 0.042092323
511, 3354445151, -85.93864440917969, 85.3755111694336, 140.5614471435547, -0.1710362, 0.14085999, -0.15839386
514, 3354495152, -89.83523559570312, 84.98839569091797, 138.29344177246094, 0.13978389, 0.15732495, -0.29235077
517, 3354545153, -92.32322692871094, 84.85558319091797, 136.7932586669922, 0.049357135, -0.016829185, -0.5221529
520, 3354595154, -94.09257507324219, 85.11741638183594, 135.35108947753906, -0.28725293, -0.18576922, -0.25037193
524, 3354661822, -90.8720703125, 85.24107360839844, 138.81556701660156, 0.042185836, 0.11028777, 0.031757355
533, 3354811825, -80.79711151123047, 84.4765396118164, 146.20248413085938, 0.3332063, -0.25014228, -0.20515728
536, 3354861826, -83.70950317382812, 84.94661712646484, 142.79754638671875, -0.43783283, -0.13813491, -0.39055157
539, 3354911827, -90.1839599609375, 85.23856353759766, 136.552001953125, -0.6099553, 0.106266774, 0.063316345
542, 3354961828, -93.19213104248047, 85.19050598144531, 133.28359985351562, -0.33946678, 0.019036822, -0.015025139
546, 3355028496, -90.19698333740234, 84.81715393066406, 136.47445678710938, -0.13325685, -0.028607087, -0.22088718
549, 3355078497, -86.5344009399414, 84.50923919677734, 140.60374450683594, 0.00413851, 0.11707888, -0.36189556
552, 3355128498, -84.10244750976562, 84.38358306884766, 143.21221923828125, 0.15022697, 0.28447276, -0.25778294
555, 3355178499, -81.88912963867188, 84.341064453125, 144.99110412597656, 0.20478083, 0.28138414, -0.2355032
558, 3355228500, -78.5323257446289, 84.3218002319336, 147.53057861328125, 0.1533405, -0.016217317, -0.34879112
561, 3355278501, -75.09017181396484, 84.52940368652344, 150.2184295654297, -0.15245417, -0.20458084, -0.19504833
568, 3355395170, -74.04801940917969, 85.50699615478516, 150.80856323242188, -0.44383705, 0.24458955, 0.22626781
574, 3355495172, -73.94869995117188, 85.16471099853516, 152.16519165039062, -0.018442612, 0.16097358, -0.2980852
577, 3355545173, -73.49231719970703, 84.98050689697266, 153.0907745361328, 0.11370864, -0.0013484537, -0.29515743
580, 3355595174, -72.75080108642578, 84.97523498535156, 153.9412841796875, 0.09779921, 0.044822954, -0.24940968
583, 3355645175, -71.28374481201172, 85.16487121582031, 155.03298950195312, -0.05962789, 0.025096482, -0.09646225
587, 3355711843, -70.03205108642578, 85.4332275390625, 155.4468536376953, -0.19165644, 0.07289082, -0.0828619
590, 3355761844, -69.9677505493164, 85.50839233398438, 155.04443359375, -0.19561122, 0.032747332, -0.11351395
596, 3355861846, -72.35110473632812, 85.49402618408203, 153.1024169921875, -0.06313062, 0.05779162, -0.16711044
599, 3355911847, -74.4428482055664, 85.44723510742188, 151.55735778808594, 0.0023054802, 0.06950236, -0.1925087
605, 3356011849, -79.36424255371094, 85.35084533691406, 147.47422790527344, 0.0343963, 0.07421781, -0.14801311
609, 3356078517, -82.65721893310547, 85.29147338867188, 144.4943389892578, -0.076290004, 0.10026992, -0.19231033
612, 3356128518, -84.22872161865234, 85.25856018066406, 142.9330596923828, -0.0996252, 0.064513214, -0.16618443
615, 3356178519, -85.67337799072266, 85.24239349365234, 141.49388122558594, -0.13147154, 6.6182186E-4, -0.11279869
618, 3356228520, -87.19342041015625, 85.14926147460938, 139.9776153564453, -0.24831384, 0.054663222, -0.006512642
621, 3356278521, -86.3477783203125, 84.98319244384766, 140.6767120361328, -0.1731955, 0.042350676, -0.09029102
624, 3356328522, -84.06624603271484, 84.70309448242188, 142.73040771484375, -0.16275878, -0.013817012, -0.3412676
628, 3356395190, -82.40863800048828, 84.25788879394531, 144.27345275878906, 0.021812517, -1.0236893E-4, -0.33119583
631, 3356445191, -81.49998474121094, 83.94952392578125, 145.16465759277344, 0.20812029, -0.021835875, -0.21897793
634, 3356495192, -81.02597045898438, 83.76262664794922, 145.69973754882812, 0.39382738, 0.018979268, -0.29776287
