sep=,
DeviceTag:,Xsens_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-17 15:27:09.389 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 3551615761, -147.74102783203125, 52.21299743652344, -40.22405242919922, 0.5972744, 1.1210816, -1.6293049
2, 3551632428, -148.2988739013672, 52.176300048828125, -40.602230072021484, 0.6155063, 1.1203893, -1.4558659
3, 3551649095, -148.9209747314453, 52.167579650878906, -40.94260025024414, 0.5027139, 1.0671971, -0.70280266
4, 3551665762, -149.55673217773438, 52.126216888427734, -41.240055084228516, 0.61326253, 0.5147246, 0.2069149
5, 3551682429, -150.24221801757812, 52.06452178955078, -41.53612518310547, 0.66870683, -0.37834933, 0.54642296
6, 3551699096, -150.9753875732422, 52.08274459838867, -41.66663360595703, 0.3933361, -1.3827779, 0.35736847
7, 3551715763, -152.03689575195312, 52.23973846435547, -41.60341262817383, 0.24152154, -1.9536551, 0.16633415
8, 3551732430, -153.32113647460938, 52.42732620239258, -41.471858978271484, 0.8264067, -1.9246651, -0.29949093
9, 3551749097, -154.64303588867188, 52.570072174072266, -41.41154098510742, 1.2351671, -1.8028884, -0.20944786
10, 3551765764, -155.9071807861328, 52.69747543334961, -41.443359375, 1.4629225, -1.9318942, 0.1530199
11, 3551782431, -156.96351623535156, 52.821693420410156, -41.53593826293945, 1.3378185, -2.1187062, 0.04846573
13, 3551815765, -158.21527099609375, 53.042179107666016, -41.84358215332031, 0.40958, -2.1599362, -0.58213043
16, 3551865766, -159.19654846191406, 53.44051742553711, -42.75101089477539, -0.33814958, -1.868849, -0.30536366
19, 3551915767, -159.59132385253906, 53.859397888183594, -43.81771469116211, -0.37538558, -1.8958697, -0.580925
22, 3551965768, -159.484619140625, 53.930416107177734, -44.7030029296875, -0.95210886, -1.5912147, -1.2728329
25, 3552015769, -158.64219665527344, 53.46400833129883, -44.918540954589844, -2.0344512, -1.6713164, 0.25396252
29, 3552082437, -158.65869140625, 53.30629348754883, -44.75232696533203, -0.097861566, -1.8183547, 0.72672176
32, 3552132438, -158.33030700683594, 53.304588317871094, -45.25833511352539, 0.19632015, -1.4987746, -0.6798458
35, 3552182439, -156.35145568847656, 53.06236267089844, -45.94996643066406, -1.1358101, -0.9552416, -0.85592556
38, 3552232440, -153.55288696289062, 52.60444259643555, -46.66560363769531, -1.2490668, 0.60711396, 0.107990265
41, 3552282441, -152.7579803466797, 51.76004409790039, -48.11055374145508, 0.063689545, 0.099208765, -1.0296516
48, 3552399110, -153.0498046875, 49.98126983642578, -47.09740447998047, 0.1484791, 0.08050892, -0.7188444
54, 3552499112, -153.1331787109375, 48.94436264038086, -44.9765739440918, 0.74578863, -0.59057665, -0.7102251
57, 3552549113, -153.3867950439453, 48.63262176513672, -43.8880615234375, 0.6875005, -0.680605, -0.2797184
60, 3552599114, -153.60792541503906, 48.599605560302734, -42.9986457824707, 0.9589335, -0.7632116, -0.12995052
63, 3552649115, -153.97732543945312, 48.77210998535156, -42.55769729614258, 1.5123248, -0.77379405, -0.79311657
66, 3552699116, -153.67356872558594, 49.035789489746094, -42.2137336730957, -0.23064995, -0.8020872, 0.24518108
73, 3552815785, -153.42642211914062, 50.82235336303711, -41.78963851928711, 0.91647094, -0.20567907, -0.9887762
76, 3552865786, -152.0888671875, 51.48648452758789, -41.330162048339844, -0.26429278, -0.1945327, -0.20630264
79, 3552915787, -151.51849365234375, 52.52942657470703, -40.728214263916016, 0.24618332, -0.4618502, 0.3403759
82, 3552965788, -151.10606384277344, 53.68815994262695, -40.15725326538086, 1.2429788, -0.27681097, 0.0020999908
88, 3553065790, -147.8004608154297, 55.44084167480469, -38.275569915771484, -0.5804722, -0.08624516, 0.36779976
92, 3553132458, -146.10623168945312, 56.989925384521484, -36.42665100097656, 0.41811115, 0.117924094, 0.0054035187
95, 3553182459, -144.02606201171875, 58.05838394165039, -35.13747024536133, -0.34126428, 0.2969669, -0.2328949
98, 3553232460, -141.855224609375, 59.05738067626953, -33.8035888671875, -0.6600713, 0.36223358, -0.33737946
101, 3553282461, -140.00534057617188, 60.04646301269531, -32.41527557373047, -0.42509124, 0.57532996, -0.06766415
104, 3553332462, -137.9862060546875, 60.934871673583984, -31.011260986328125, -0.35867, 0.6791526, 0.34741592
110, 3553432464, -134.78843688964844, 62.78329849243164, -28.21866798400879, 0.21114777, 0.6684926, 0.3517084
114, 3553499132, -133.17816162109375, 63.912723541259766, -27.05679702758789, 0.69016397, 0.6245712, -0.12851429
117, 3553549133, -131.99697875976562, 64.47431945800781, -26.732648849487305, 0.5085666, 0.837417, -0.5341759
