sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-17 15:27:09.387 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 3551582427, -108.33091735839844, 82.02989196777344, 87.72366333007812, 0.009229842, -0.018016988, -0.12724876
2, 3551599094, -108.19939422607422, 82.0290298461914, 87.7894287109375, 0.020545423, 0.008752711, -0.15890121
3, 3551615761, -108.05021667480469, 82.02828979492188, 87.8722915649414, 0.013459447, 0.029199006, -0.16270351
4, 3551632428, -107.83009338378906, 82.02944946289062, 88.018310546875, 0.020839818, 0.021628343, -0.1967926
5, 3551649095, -107.57987976074219, 82.03479766845703, 88.18327331542969, 0.05038897, 0.02954735, -0.21370602
6, 3551665762, -107.304443359375, 82.04763793945312, 88.36459350585938, 0.05402723, 0.03393044, -0.25040627
7, 3551682429, -107.00273132324219, 82.07219696044922, 88.56404113769531, 0.0099336, -0.0049295225, -0.2559967
8, 3551699096, -106.76559448242188, 82.10332489013672, 88.70359802246094, -0.061183013, -0.05151415, -0.20989704
9, 3551715763, -106.63609313964844, 82.13803100585938, 88.7439956665039, -0.07762993, -0.026405262, -0.17916965
10, 3551732430, -106.61812591552734, 82.16867065429688, 88.6808090209961, -0.11156773, 0.01614747, -0.17325687
11, 3551749097, -106.66516876220703, 82.18807220458984, 88.56379699707031, -0.18395631, 0.043411355, -0.10158348
12, 3551765764, -106.70807647705078, 82.20295715332031, 88.44965362548828, -0.13506413, 0.028505305, -0.11659145
