sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-17 15:21:16.694 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 3198942041, -35.96377944946289, 54.24312973022461, -136.9568634033203, -0.52742785, 0.083119325, 0.052518845
2, 3198958708, -36.0963020324707, 54.115299224853516, -137.01364135742188, -0.43338403, -0.004132196, 0.033504486
3, 3198975375, -36.26902389526367, 54.021812438964844, -137.07774353027344, -0.32305267, -0.09279129, 0.04165268
4, 3198992042, -36.47812271118164, 53.952579498291016, -137.14981079101562, -0.22616427, -0.078758255, 0.038406372
5, 3199008709, -36.71413803100586, 53.89857864379883, -137.23753356933594, -0.18636353, -0.049083, 0.019173622
6, 3199025376, -36.96653747558594, 53.85017013549805, -137.3509979248047, -0.19559585, 0.07029203, 0.028132439
7, 3199042043, -37.21364974975586, 53.79500198364258, -137.4759521484375, -0.29261166, 0.13232917, 0.03863907
8, 3199058710, -37.44105911254883, 53.73701477050781, -137.6023406982422, -0.41713318, 0.1426378, 0.03277397
9, 3199075377, -37.661293029785156, 53.682899475097656, -137.72842407226562, -0.49919507, 0.12941054, 0.023136139
10, 3199092044, -37.87882995605469, 53.636722564697266, -137.84915161132812, -0.4815716, 0.10064565, -0.030593872
11, 3199108711, -38.08432388305664, 53.60482406616211, -137.9691925048828, -0.424911, 0.0779089, -0.042819023
12, 3199125378, -38.269710540771484, 53.58238220214844, -138.0824432373047, -0.35420087, 0.048029583, -0.009342194
13, 3199142045, -38.45444869995117, 53.57527160644531, -138.1942138671875, -0.25702223, 0.055471893, 0.0034799576
14, 3199158712, -38.65155029296875, 53.57683181762695, -138.30868530273438, -0.13670366, 0.045322057, 0.025702477
20, 3199258714, -39.99814987182617, 53.67611312866211, -139.00155639648438, -0.15894409, 0.15835692, 8.907318E-4
23, 3199308715, -40.729339599609375, 53.768436431884766, -139.2706298828125, -0.3604637, 0.1757183, -0.042336464
26, 3199358716, -41.566932678222656, 54.036014556884766, -139.4885711669922, -0.1571305, 0.162276, 0.043029785
29, 3199408717, -42.31787872314453, 54.340667724609375, -139.6616973876953, -0.13009773, 0.10004887, 9.870529E-4
33, 3199475385, -42.97693634033203, 54.60200119018555, -139.86940002441406, -0.1617704, -0.0064727115, -0.13205624
36, 3199525386, -43.32440185546875, 54.66970443725586, -140.0446014404297, -0.2656362, 0.023691367, -0.030023575
39, 3199575387, -43.76681137084961, 54.77711486816406, -140.36802673339844, -0.1762022, 0.17547633, 0.018749237
42, 3199625388, -44.18889236450195, 54.943809509277344, -140.6720733642578, -0.29807687, 0.14675681, 0.0016365051
45, 3199675389, -44.488548278808594, 55.16953659057617, -140.81617736816406, -0.29018307, 0.122191854, -0.08375454
48, 3199725390, -44.916473388671875, 55.4727668762207, -141.00587463378906, -0.27649224, 0.09611973, -0.037534714
51, 3199775391, -45.184326171875, 55.720035552978516, -141.11849975585938, -0.04282687, 0.2055338, -0.033350945
55, 3199842059, -45.35008239746094, 55.88053512573242, -141.29006958007812, -0.092364945, 0.29644814, -0.1106596
61, 3199942061, -45.192813873291016, 55.97178649902344, -141.4312286376953, -0.11342768, 0.1487035, -0.11704159
64, 3199992062, -45.01818084716797, 55.96339416503906, -141.34942626953125, -0.12944373, 0.14842735, -0.010056496
67, 3200042063, -44.77543640136719, 55.92745590209961, -141.18438720703125, -0.24057035, 0.17802036, -0.0386343
70, 3200092064, -44.689327239990234, 55.96002960205078, -141.0998077392578, -0.16333857, 0.1204537, 0.007126808
73, 3200142065, -44.76594924926758, 56.05324172973633, -141.09017944335938, -0.23049349, 0.11932798, -0.03678322
77, 3200208733, -44.7292594909668, 56.35079574584961, -141.25926208496094, -0.10569637, 0.14456572, 0.077178
80, 3200258734, -44.692440032958984, 56.45389938354492, -141.36932373046875, 0.031898428, 0.08794195, -0.05210209
83, 3200308735, -44.66545867919922, 56.44036102294922, -141.3982696533203, -0.22470316, 0.12830202, -0.035726547
86, 3200358736, -44.60765838623047, 56.45515823364258, -141.46151733398438, -0.05682705, 0.13406073, -0.027466774
96, 3200525406, -43.97142028808594, 56.188106536865234, -141.39163208007812, -0.24297109, 0.20267528, -0.01334095
105, 3200675409, -43.46103286743164, 55.926551818847656, -141.43429565429688, -0.19451751, 0.12816624, -0.0692215
108, 3200725410, -43.32450866699219, 55.86212158203125, -141.40631103515625, -0.118757576, 0.19962735, -0.04855156
111, 3200775411, -43.21630096435547, 55.79783248901367, -141.4121856689453, -0.14461645, 0.18880375, -0.033527374
114, 3200825412, -43.06950759887695, 55.69627380371094, -141.39434814453125, -0.1347593, 0.082178004, -0.038119316
118, 3200892080, -42.94807434082031, 55.56227493286133, -141.44297790527344, -0.11196971, 0.13997833, 4.8732758E-4
121, 3200942081, -42.87858581542969, 55.452857971191406, -141.51560974121094, -0.20058589, 0.16686448, -0.069129944
