sep=,
DeviceTag:,Xsens_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-17 15:21:16.695 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 3198875373, -66.35157775878906, 57.32731628417969, 127.2991714477539, 0.03553736, -0.31738085, -0.18880272
2, 3198892040, -66.3665771484375, 57.317543029785156, 127.34229278564453, 0.017982945, -0.28691, -0.18980122
3, 3198908707, -66.34210205078125, 57.302433013916016, 127.39921569824219, 0.026054025, -0.236375, -0.21168232
4, 3198925374, -66.28950500488281, 57.28133773803711, 127.45848846435547, 0.034985926, -0.23500168, -0.19748116
5, 3198942041, -66.22284698486328, 57.25025939941406, 127.51422119140625, 0.027283613, -0.22763588, -0.13689137
6, 3198958708, -66.14301300048828, 57.2194938659668, 127.56999969482422, -0.0010272237, -0.16150805, -0.055695534
7, 3198975375, -66.05463409423828, 57.19785690307617, 127.61664581298828, -0.03702101, -0.05870886, 0.029044151
8, 3198992042, -65.95283508300781, 57.19404983520508, 127.66143798828125, -0.08004368, 0.028250305, 0.06486511
9, 3199008709, -65.82288360595703, 57.20070266723633, 127.72319030761719, -0.08912681, 0.053924795, -0.047449112
10, 3199025376, -65.67388916015625, 57.20938491821289, 127.81948852539062, -0.051040802, -0.040281225, -0.22977543
11, 3199042043, -65.52244567871094, 57.212772369384766, 127.95318603515625, 0.011907136, -0.18624994, -0.30395412
12, 3199058710, -65.41748046875, 57.211265563964844, 128.09439086914062, 0.032479197, -0.35097954, -0.24585247
13, 3199075377, -65.40228271484375, 57.201148986816406, 128.2107696533203, 0.068112105, -0.3850508, -0.18233395
14, 3199092044, -65.48320007324219, 57.17189407348633, 128.2842254638672, 0.029849596, -0.36041513, -0.06108761
15, 3199108711, -65.60631561279297, 57.127105712890625, 128.32919311523438, 0.009651387, -0.25837186, 0.01856327
16, 3199125378, -65.68347930908203, 57.08195495605469, 128.36233520507812, 0.037732188, -0.16002549, 0.040265083
17, 3199142045, -65.6701431274414, 57.03633499145508, 128.39898681640625, 0.027039438, -0.14495005, -0.018145561
18, 3199158712, -65.58872985839844, 56.99692153930664, 128.43003845214844, -0.009756634, -0.14865735, -0.10571861
19, 3199175379, -65.49664306640625, 56.96870803833008, 128.4314422607422, -0.061728492, -0.11788338, -0.083563805
20, 3199192046, -65.42460632324219, 56.952537536621094, 128.39938354492188, -0.09894114, -0.03623687, -0.065499306
21, 3199208713, -65.34320831298828, 56.938812255859375, 128.37049865722656, -0.14729552, 0.007527078, -0.056132317
22, 3199225380, -65.22657775878906, 56.93473815917969, 128.36915588378906, -0.117313035, -0.017066723, -0.05623722
23, 3199242047, -65.08816528320312, 56.93972396850586, 128.3964385986328, -0.10872263, -0.06733462, -0.06882954
24, 3199258714, -64.9671630859375, 56.95245361328125, 128.4400634765625, -0.06522858, -0.16189899, -0.15371895
25, 3199275381, -64.89250183105469, 56.96581268310547, 128.489990234375, 0.028026933, -0.25285634, -0.20894718
26, 3199292048, -64.87950897216797, 56.96839904785156, 128.53451538085938, 0.032534827, -0.33032712, -0.1875906
